antecedente	consequente	numero de pares
GO:0005737	GO:0030426	4812
GO:0030426	GO:0005737	4812
GO:0005737	GO:0030496	4812
GO:0030496	GO:0005737	4812
GO:0005737	GO:0031410	4812
GO:0031410	GO:0005737	4812
GO:0031965	GO:0005737	4812
GO:0005737	GO:0031965	4812
GO:0005737	GO:0031982	4812
GO:0031982	GO:0005737	4812
GO:0005737	GO:0032991	4812
GO:0032991	GO:0005737	4812
GO:0005737	GO:0034774	4812
GO:0034774	GO:0005737	4812
GO:0005737	GO:0036464	4812
GO:0036464	GO:0005737	4812
GO:0042470	GO:0005737	4812
GO:0005737	GO:0042470	4812
GO:0005737	GO:0043005	4812
GO:0043005	GO:0005737	4812
GO:0043025	GO:0005737	4812
GO:0005737	GO:0043025	4812
GO:0005737	GO:0043197	4812
GO:0043197	GO:0005737	4812
GO:0005737	GO:0043231	4812
GO:0043231	GO:0005737	4812
GO:0043235	GO:0005737	4812
GO:0005737	GO:0043235	4812
GO:0045121	GO:0005737	4812
GO:0005737	GO:0045121	4812
GO:0005737	GO:0045202	4812
GO:0045202	GO:0005737	4812
GO:0005737	GO:0048471	4812
GO:0048471	GO:0005737	4812
GO:0005737	GO:0070062	4812
GO:0070062	GO:0005737	4812
GO:0005737	GO:0098978	4812
GO:0098978	GO:0005737	4812
GO:0005737	GO:1904813	4812
GO:1904813	GO:0005737	4812
GO:1990904	GO:0005737	4812
GO:0005737	GO:1990904	4812
GO:0005739	GO:0005743	4817
GO:0005743	GO:0005739	4818
GO:0005739	GO:0005759	4818
GO:0005759	GO:0005739	4818
GO:0005739	GO:0005783	4818
GO:0005783	GO:0005739	4818
GO:0005739	GO:0005794	4818
GO:0005794	GO:0005739	4818
GO:0005739	GO:0005813	4818
GO:0005813	GO:0005739	4818
GO:0005739	GO:0005829	4818
GO:0005829	GO:0005739	4818
GO:0005739	GO:0005886	4818
GO:0005886	GO:0005739	4818
GO:0005739	GO:0005925	4818
GO:0005925	GO:0005739	4818
GO:0005739	GO:0016020	4818
GO:0016020	GO:0005739	4818
GO:0005739	GO:0032991	4818
GO:0032991	GO:0005739	4818
GO:0043025	GO:0005739	4818
GO:0005739	GO:0043025	4818
GO:0005739	GO:0048471	4818
GO:0048471	GO:0005739	4818
GO:0005739	GO:0070062	4818
GO:0070062	GO:0005739	4818
GO:0005739	GO:0098978	4818
GO:0098978	GO:0005739	4818
GO:0005759	GO:0005829	4818
GO:0005829	GO:0005759	4818
GO:0005829	GO:0005764	4819
GO:0005764	GO:0005829	4820
GO:0005829	GO:0005765	4820
GO:0005765	GO:0005829	4820
GO:0005886	GO:0005765	4820
GO:0005765	GO:0005886	4820
GO:0016020	GO:0005765	4820
GO:0005765	GO:0016020	4820
GO:0070062	GO:0005765	4820
GO:0005765	GO:0070062	4820
GO:0005829	GO:0005768	4820
GO:0005768	GO:0005829	4820
GO:0005768	GO:0005886	4820
GO:0005886	GO:0005768	4820
GO:0016020	GO:0005768	4820
GO:0005768	GO:0016020	4820
GO:0070062	GO:0005768	4820
GO:0005768	GO:0070062	4820
GO:0005829	GO:0005769	4820
GO:0005769	GO:0005829	4820
GO:0005769	GO:0005886	4820
GO:0005886	GO:0005769	4820
GO:0005769	GO:0070062	4820
GO:0070062	GO:0005769	4820
GO:0005789	GO:0005783	4820
GO:0005783	GO:0005789	4820
GO:0005794	GO:0005783	4820
GO:0005783	GO:0005794	4820
GO:0005829	GO:0005783	4820
GO:0005783	GO:0005829	4820
GO:0005783	GO:0005886	4820
GO:0005886	GO:0005783	4820
GO:0016020	GO:0005783	4820
GO:0005783	GO:0016020	4820
GO:0016021	GO:0005783	4820
GO:0005783	GO:0016021	4820
GO:0032991	GO:0005783	4820
GO:0005783	GO:0032991	4820
GO:0005783	GO:0048471	4820
GO:0048471	GO:0005783	4820
GO:0070062	GO:0005783	4820
GO:0005783	GO:0070062	4820
GO:0005789	GO:0005829	4820
GO:0005829	GO:0005789	4820
GO:0005789	GO:0005886	4820
GO:0005886	GO:0005789	4820
GO:0005789	GO:0016020	4820
GO:0016020	GO:0005789	4820
GO:0005789	GO:0016021	4820
GO:0016021	GO:0005789	4820
GO:0005789	GO:0070062	4820
GO:0070062	GO:0005789	4820
GO:0005829	GO:0005794	4820
GO:0005794	GO:0005829	4820
GO:0005794	GO:0005886	4820
GO:0005886	GO:0005794	4820
GO:0016020	GO:0005794	4820
GO:0005794	GO:0016020	4820
GO:0005794	GO:0016021	4820
GO:0016021	GO:0005794	4820
GO:0005794	GO:0032991	4820
GO:0032991	GO:0005794	4820
GO:0005794	GO:0043231	4820
GO:0043231	GO:0005794	4820
GO:0005794	GO:0048471	4820
GO:0048471	GO:0005794	4820
GO:0005794	GO:0070062	4820
GO:0070062	GO:0005794	4820
GO:0005829	GO:0005813	4820
GO:0005813	GO:0005829	4820
GO:0005813	GO:0005874	4820
GO:0005874	GO:0005813	4820
GO:0005813	GO:0005886	4820
GO:0005886	GO:0005813	4820
GO:0016020	GO:0005813	4820
GO:0005813	GO:0016020	4820
GO:0005813	GO:0032991	4820
GO:0032991	GO:0005813	4820
GO:0005813	GO:0048471	4820
GO:0048471	GO:0005813	4820
GO:0005813	GO:0070062	4820
GO:0070062	GO:0005813	4820
GO:0005829	GO:0005819	4820
GO:0005819	GO:0005829	4820
GO:0005829	GO:0005840	4820
GO:0005840	GO:0005829	4820
GO:0005829	GO:0005856	4820
GO:0005856	GO:0005829	4820
GO:0005829	GO:0005874	4820
GO:0005874	GO:0005829	4820
GO:0005829	GO:0005886	4820
GO:0005886	GO:0005829	4820
GO:0005829	GO:0005887	4820
GO:0005887	GO:0005829	4820
GO:0005911	GO:0005829	4820
GO:0005829	GO:0005911	4820
GO:0005829	GO:0005912	4820
GO:0005912	GO:0005829	4820
GO:0005829	GO:0005925	4820
GO:0005925	GO:0005829	4820
GO:0005829	GO:0005938	4820
GO:0005938	GO:0005829	4820
GO:0005829	GO:0009986	4820
GO:0009986	GO:0005829	4820
GO:0005829	GO:0010008	4820
GO:0010008	GO:0005829	4820
GO:0005829	GO:0014069	4820
GO:0014069	GO:0005829	4820
GO:0005829	GO:0015629	4820
GO:0015629	GO:0005829	4820
GO:0005829	GO:0015630	4820
GO:0015630	GO:0005829	4820
GO:0005829	GO:0016020	4820
GO:0016020	GO:0005829	4820
GO:0005829	GO:0016021	4820
GO:0016021	GO:0005829	4820
GO:0005829	GO:0016323	4820
GO:0016323	GO:0005829	4820
GO:0016324	GO:0005829	4820
GO:0005829	GO:0016324	4820
GO:0016363	GO:0005829	4820
GO:0005829	GO:0016363	4820
GO:0005829	GO:0016604	4820
GO:0016604	GO:0005829	4820
GO:0005829	GO:0016605	4820
GO:0016605	GO:0005829	4820
GO:0005829	GO:0016607	4820
GO:0016607	GO:0005829	4820
GO:0005829	GO:0022625	4820
GO:0022625	GO:0005829	4820
GO:0005829	GO:0022627	4820
GO:0022627	GO:0005829	4820
